ano,fatal_crashes,deaths,truck_fatal_crashes,truck_deaths,hv_fatal_crashes,hv_deaths,bus_fatal_crashes,fatal_hw,fatal_urb,truck_fatal_hw,truck_fatal_urb,pop,deaths_per_100k,truck_share_fatal_pct,truck_share_deaths_pct,hv_share_fatal_pct,deaths_per_fatal_crash,truck_deaths_per_crash
2015,5952,6327,913,1026,1331,1472,441,1750,4202,464,449,44396484,14.25,15.3,16.2,22.4,1.063,1.124
2016,5315,5741,807,892,1193,1330,421,1711,3604,405,402,44749699,12.83,15.2,15.5,22.4,1.08,1.105
2017,5071,5409,733,826,1112,1242,394,1818,3253,442,291,45094866,11.99,14.5,15.3,21.9,1.067,1.127
2018,4870,5236,725,821,1092,1214,387,2117,2753,527,198,45538936,11.5,14.9,15.7,22.4,1.075,1.132
2019,4804,5171,741,843,1080,1217,358,2167,2637,529,212,45919049,11.26,15.4,16.3,22.5,1.076,1.138
2020,4504,4842,699,835,893,1040,208,1917,2587,497,202,46289333,10.46,15.5,17.2,19.8,1.075,1.195
2021,4614,4858,742,814,963,1051,237,1994,2620,544,198,46649132,10.41,16.1,16.8,20.9,1.053,1.097
2022,5122,5444,813,887,1089,1190,293,2144,2978,560,253,44411238,12.26,15.9,16.3,21.3,1.063,1.091
2023,5170,5489,791,867,1112,1224,333,2151,3019,566,225,45192216,12.15,15.3,15.8,21.5,1.062,1.096
2024,5842,6178,898,996,1239,1370,360,2331,3511,627,271,45973194,13.44,15.4,16.1,21.2,1.058,1.109
2025,5788,6125,917,1023,1240,1361,340,2305,3483,632,285,46081801,13.29,15.8,16.7,21.4,1.058,1.116
