group,crashes,fatal_crashes,deaths,serious_inj,minor_inj,uninjured,fatal_rate_pct,deaths_per_100_crashes,victims_per_crash
All crashes w/ victims,870477,35844,38107,90141,781215,698227,4.12,4.38,1.04
Truck-involved,50281,5601,6265,7883,38895,49140,11.14,12.46,1.05
No truck,820196,30243,31842,82258,742320,649087,3.69,3.88,1.04
Bus-involved,31208,2129,2406,3396,30419,39378,6.82,7.71,1.16
Heavy vehicle (truck or bus),80303,7616,8453,11060,67535,86456,9.48,10.53,1.08
No heavy vehicle,790174,28228,29654,79081,713680,611771,3.57,3.75,1.04
Truck — highway,26818,3955,4539,4311,18109,21331,14.75,16.93,1.01
Truck — urban street,23463,1646,1726,3572,20786,27809,7.02,7.36,1.11
No truck — highway,140297,11054,12061,22697,122836,79046,7.88,8.6,1.12
No truck — urban street,679899,19189,19781,59561,619484,570041,2.82,2.91,1.03
Motorcycle-involved,513588,16768,17427,62746,516798,433104,3.26,3.39,1.16
Pedestrian-involved,66605,8623,8758,8820,59491,57425,12.95,13.15,1.16
Bicycle-involved,32707,2636,2662,3451,31303,28519,8.06,8.14,1.14
