ano,env_caminhao,crashes,fatal_crashes,deaths,serious,minor,fatal_rate_pct,group
2019,0,114435,4063,4328,11173,101732,3.55,No truck
2019,1,6781,741,843,1105,5542,10.93,Truck-involved
2020,0,107078,3805,4007,11385,96646,3.55,No truck
2020,1,6896,699,835,1103,5288,10.14,Truck-involved
2021,0,118966,3872,4044,12358,107401,3.25,No truck
2021,1,7450,742,814,1151,5725,9.96,Truck-involved
2022,0,123287,4309,4557,12257,112320,3.5,No truck
2022,1,7396,813,887,1148,5739,10.99,Truck-involved
2023,0,132825,4379,4622,12409,114462,3.3,No truck
2023,1,7677,791,867,1239,5853,10.3,Truck-involved
2024,0,127969,4944,5182,12369,114648,3.86,No truck
2024,1,7621,898,996,1153,5846,11.78,Truck-involved
2025,0,95636,4871,5102,10307,95111,5.09,No truck
2025,1,6460,917,1023,984,4902,14.2,Truck-involved
