rodovia_cod,rede,fatal_crashes,deaths,truck_fatal,truck_deaths,truck_share_pct
BR-116,Federal (BR),1555,1664,485,539.0,31.2
SP-330,State (SP),1290,1367,415,444.0,32.2
SP-055,State (SP),1007,1078,150,169.0,14.9
SP-270,State (SP),976,1043,230,259.0,23.6
SP-310,State (SP),719,788,260,285.0,36.2
SP-300,State (SP),718,783,204,218.0,28.4
SP-280,State (SP),706,777,247,285.0,35.0
SP-348,State (SP),555,610,178,203.0,32.1
SP-075,State (SP),443,487,88,98.0,19.9
SP-070,State (SP),437,471,66,71.0,15.1
SP-160,State (SP),415,439,62,67.0,14.9
SP-065,State (SP),401,431,107,116.0,26.7
SP-294,State (SP),397,452,110,132.0,27.7
SP-021,State (SP),383,421,140,158.0,36.6
SP-304,State (SP),370,422,109,130.0,29.5
SP-425,State (SP),364,446,165,210.0,45.3
SP-150,State (SP),360,377,96,105.0,26.7
SP-255,State (SP),350,439,138,183.0,39.4
SP-333,State (SP),347,416,113,129.0,32.6
SP-340,State (SP),347,377,93,104.0,26.8
SP-332,State (SP),338,362,48,53.0,14.2
SP-127,State (SP),309,340,86,93.0,27.8
BR-381,Federal (BR),309,323,89,95.0,28.8
SP-225,State (SP),286,319,98,111.0,34.3
SP-250,State (SP),251,289,70,86.0,27.9
BR-153,Federal (BR),229,265,100,121.0,43.7
SP-322,State (SP),222,262,50,61.0,22.5
SP-320,State (SP),212,239,54,59.0,25.5
SP-101,State (SP),200,217,20,21.0,10.0
SP-079,State (SP),181,202,39,48.0,21.5
