ano,AUTOMOVEL,BICICLETA,CAMINHAO,MOTOCICLETA,NAO DISPONIVEL,ONIBUS,OUTROS
2015,4377,295,1028,3619,0,471,866
2016,4037,341,903,3414,0,442,626
2017,4005,341,829,3610,1,416,642
2018,2778,374,824,2123,0,392,452
2019,88667,4185,7658,71779,30065,4892,5044
2020,83191,4488,7751,70274,25431,3486,4948
2021,92953,5147,8335,79161,28594,4049,5539
2022,97282,5100,8191,81553,26158,4884,5970
2023,98820,5083,8631,84797,36930,5100,6625
2024,98696,4863,8526,86346,26506,5136,6597
2025,80829,3842,7283,73790,5476,4439,6010
