SP,Rodovia,Trecho,Administrador,passeio,comercial,vdm,share_comercial_pct
SP270,Raposo Tavares,Cotia-São Paulo,Concessionária,76729.0,8171.0,84900.0,9.6
SP304,Dep.Leônidas Pachêco Ferreira,Americana-Piracicaba,DER,30157.0,5821.0,35978.0,16.2
SP354,Edgar Maximo Zambotto,Campo Limpo Paulista -Jarinu,DER,13874.0,4690.0,18564.0,25.3
SP088,Pedro Eroles,Mogi das Cruzes-São Paulo,Concessionária,41813.0,4449.0,46262.0,9.6
SP320,Euclides da Cunha,Tanabi-Votuporanga,DER,11592.0,4378.0,15970.0,27.4
SP320,Euclides da Cunha,Fernandópolis-Votuporanga,DER,15041.0,4219.0,19260.0,21.9
SP055,Luiz Salomão Chama,Praia Grande-São Paulo,Concessionária,46427.0,3821.0,50248.0,7.6
SP055,Padre Manoel da Nobrega,Itanhaem-Mongaguá,Concessionária,41146.0,3803.0,44949.0,8.5
SP270,Raposo Tavares,Angatuba-Itapetininga,Concessionária,8294.0,3614.0,11908.0,30.3
SP320,Euclides da Cunha,Jales-Santa Fé do Sul,DER,8695.0,3459.0,12154.0,28.5
SP031,Índio Tibiriça,Ribeirão Pires -São Bernardo do Campo,DER,16409.0,2966.0,19375.0,15.3
SP425,Rod.Assis Chateaubriand,Presidente Prudente-Santopólis do Aguapeí,DER,3498.0,2820.0,6318.0,44.6
SP148,Caminho do Mar,Ribeirão Pires-São Bernardo Campo,DER,18646.0,2796.0,21442.0,13.0
SP332,Presidente Tancredo de Almeida Neves,Franco da Rocha-Jundiaí,DER,18207.0,2633.0,20840.0,12.6
SP425,Rod.Assis Chateaubriand,Pirapozinho-Presidente Prudente,DER,11132.0,2568.0,13700.0,18.7
SP055,Padre Manoel da Nobrega,Itanhaem-Peruíbe,Concessionária,16837.0,2546.0,19383.0,13.1
SP063,Alkindar Monteiro Junqueira,Bragança Paulista-Itatiba,DER,17804.0,2319.0,20123.0,11.5
SP023,Luiz Salomão Chama,Franco da Rocha-Mairiporã,DER,15758.0,2241.0,17999.0,12.5
SP055,Padre Manoel da Nobrega,Bertioga-São Sebastião,Concessionária,23682.0,2231.0,25913.0,8.6
SP425,Rod.Assis Chateaubriand,Barretos-Olimpia,DER,4276.0,2142.0,6418.0,33.4
SP008,Pedro Astenori Marigliani,Bragança Paulista-Pinhalzinho,DER,23138.0,2049.0,25187.0,8.1
SP079,Raimundo Antunes Soares,Piedade-Votorantim,Concessionária,12093.0,2002.0,14095.0,14.2
SP079,Waldomiro Correa Camargo,Sâo Paulo-Sorocaba,DER,19737.0,1958.0,21695.0,9.0
SP310,Feliciano Salles da Cunha,Nhandeara-São José do Rio Preto,DER,6684.0,1957.0,8641.0,22.6
SP270,Raposo Tavares,Itaí-Pirajú,Concessionária,2184.0,1933.0,4117.0,47.0
SP107,Prefeito Aziz Lian,Arthur Nogueira -Santo Antonio de Posse,DER,12141.0,1907.0,14048.0,13.6
SP310,Feliciano Salles da Cunha,General Salgado-Monte Aprazível,DER,5987.0,1896.0,7883.0,24.1
SP055,Padre Manoel da Nobrega,Pedro de Toledo-Peruibe,Concessionária,6008.0,1763.0,7771.0,22.7
SP425,Rod.Assis Chateaubriand,Barretos-Miguelópolis,DER,3730.0,1739.0,5469.0,31.8
SP079,Waldomiro Correa Camargo,Itu-Sorocaba ,DER,16636.0,1642.0,18278.0,9.0
SP304,Dep.Leônidas Pachêco Ferreira,Borborema-Novo Horizonte,DER,2542.0,1625.0,4167.0,39.0
SP055,Doutor Manoel Hypollito Rego,Caraguatatuba-São Sebastião,DER,16473.0,1620.0,18093.0,9.0
SP052,Hamilton Vieira Mendes,Cachoeira Paulista-Cruzeiro,DER,9137.0,1591.0,10728.0,14.8
SP225,Dep.Rogê Ferreira.,Aguaí-Pirassununga,DER,5513.0,1584.0,7097.0,22.3
SP563,Euclides de Figueiredo,Andradina-Tupi Paulista ,DER,3567.0,1559.0,5126.0,30.4
SP055,Doutor Manoel Hypollito Rego,Caraguatatuba-Ubatuba,DER,20430.0,1519.0,21949.0,6.9
SP310,Feliciano Salles da Cunha,General Salgado-Monte Aprazivel,DER,4410.0,1425.0,5835.0,24.4
SP055,Doutor Manoel Hypollito Rego,Bertioga-Santos,Concessionária,12934.0,1419.0,14353.0,9.9
SP333,Abrão Assed,Cajuru-Ribeirão Preto,DER,5289.0,1391.0,6680.0,20.8
SP098,Dom Paulo Rolim Loureiro,Mogi das Cruzes-São Paulo,Concessionária,20884.0,1383.0,22267.0,6.2
SP425,Rod.Assis Chateaubriand,Barbosa-José Bonifâcio,DER,1999.0,1381.0,3380.0,40.9
SP310,Feliciano Salles da Cunha,Auriflama-Pereira Barreto,DER,3499.0,1365.0,4864.0,28.1
SP321,Cesário José de Castilho,Bauru-Iacanga,DER,3714.0,1272.0,4986.0,25.5
SP123,Floriano Rodrigues Pinheiro,Campos do Jordão-Pindamonhangaba,DER,11916.0,1169.0,13085.0,8.9
SP055,Doutor Manoel Hypollito Rego,Bertioga-São Sebastião,DER,13846.0,1161.0,15007.0,7.7
SP310,Feliciano Salles da Cunha,Auriflama-Nhandeara,DER,2274.0,1156.0,3430.0,33.7
SP097,Emerenciano Prestes de Barros,Porto Feliz-Sorocaba,DER,8942.0,1136.0,10078.0,11.3
SP191,Geraldo de Barros,Santa Maria da Serra-São Manuel,DER,2392.0,1136.0,3528.0,32.2
SP147,Monsenhor Clodoaldo de Paiva,Itapira-Lindoia,DER,5755.0,1135.0,6890.0,16.5
SP123,Floriano Rodrigues Pinheiro,Campos do Jordão-Taubaté,DER,12727.0,1085.0,13812.0,7.9
SP008,Pedro Astenori Marigliani,Pinhalzinho-Socorro,DER,9897.0,1046.0,10943.0,9.6
SP461,Otaviano Cardoso Filho,Birigui-Nhandeara,DER,2767.0,1016.0,3783.0,26.9
SP 324,Miguel Melhado Campos,Vinhedo-Itupeva,DER,4247.0,1007.0,5254.0,19.2
SP274,Rodovia Engenheiro Renê Benedito Silva,Itapevi-São Roque,DER,7884.0,816.0,8700.0,9.4
SP046,Oswaldo Barbosa Guisardi,Santo Antonio do Pinhal-Taubaté,DER,5167.0,787.0,5954.0,13.2
SP098,Dom Paulo Rolim Loureiro,Bertioga-Mogi das Cruzes,Concessionária,10671.0,684.0,11355.0,6.0
SP125,Oswaldo Cruz,São Luis do Paraitinga-Taubaté,DER,10135.0,641.0,10776.0,5.9
SP079,Tenente Celestino Américo,Juquiá-Tapiraí,Concessionária,2611.0,615.0,3226.0,19.1
SP055,Doutor Manoel Hypollito Rego,Caraguatatuba-São Sebastião,DER,5071.0,613.0,5684.0,10.8
SP563,Euclides de Figueiredo,Teodoro Sampaio-Tupi Paulista,DER,1335.0,592.0,1927.0,30.7
SP360,Eng. Constâncio Cintra,Amparo-Serra Negra,DER,6649.0,516.0,7165.0,7.2
SP125,Oswaldo Cruz,São Luiz do Paraitinga-Taubaté,DER,6917.0,455.0,7372.0,6.2
SP123,Floriano Rodrigues Pinheiro,Campos do Jordão-Pindamonhangaba,DER,9858.0,425.0,10283.0,4.1
SP056,Prefeito Joaquim Simão,Igaratá-Santa Isabel,DER,4157.0,395.0,4552.0,8.7
SP360,Eng. Constâncio Cintra,Lindóia-Serra Negra,DER,4081.0,361.0,4442.0,8.1
SP125,Oswaldo Cruz,Taubaté-Ubatuba,DER,7039.0,233.0,7272.0,3.2
SP121,Otácilio Fernandes da Silva,Natividade da Serra-Redenção da Serra,DER,1470.0,98.0,1568.0,6.2
SP103,Prof:Júlio de Paula Morâes,Caçapava-Jambeiro,DER,1041.0,94.0,1135.0,8.3
