ano,populacao,fonte
2015,44396484,IBGE Estimativas populacionais (t.6579)
2016,44749699,IBGE Estimativas populacionais (t.6579)
2017,45094866,IBGE Estimativas populacionais (t.6579)
2018,45538936,IBGE Estimativas populacionais (t.6579)
2019,45919049,IBGE Estimativas populacionais (t.6579)
2020,46289333,IBGE Estimativas populacionais (t.6579)
2021,46649132,IBGE Estimativas populacionais (t.6579)
2022,44411238,Censo Demografico 2022 (IBGE)
2023,45192216,Interpolacao Censo2022-Estimativa2024
2024,45973194,IBGE Estimativas populacionais (t.6579)
2025,46081801,IBGE Estimativas populacionais (t.6579)
