cod_ibge,municipio,pop_2022
3500105,Adamantina,34687
3500204,Adolfo,4351
3500303,Aguaí,32072
3500402,Águas da Prata,7369
3500501,Águas de Lindóia,17930
3500550,Águas de Santa Bárbara,7177
3500600,Águas de São Pedro,2780
3500709,Agudos,37680
3500758,Alambari,6141
3500808,Alfredo Marcondes,4445
3500907,Altair,3451
3501004,Altinópolis,16818
3501103,Alto Alegre,3841
3501152,Alumínio,17301
3501202,Álvares Florence,3915
3501301,Álvares Machado,27255
3501400,Álvaro de Carvalho,4808
3501509,Alvinlândia,2885
3501608,Americana,237240
3501707,Américo Brasiliense,33019
3501806,Américo de Campos,5870
3501905,Amparo,68008
3502002,Analândia,4589
3502101,Andradina,59783
3502200,Angatuba,24022
3502309,Anhembi,5674
3502408,Anhumas,4023
3502507,Aparecida,32569
3502606,Aparecida d'Oeste,4086
3502705,Apiaí,24585
3502754,Araçariguama,21522
3502804,Araçatuba,200124
3502903,Araçoiaba da Serra,32443
3503000,Aramina,5420
3503109,Arandu,6885
3503158,Arapeí,2330
3503208,Araraquara,242228
3503307,Araras,130866
3503356,Arco-Íris,2044
3503406,Arealva,8130
3503505,Areias,3577
3503604,Areiópolis,10130
3503703,Ariranha,7602
3503802,Artur Nogueira,51456
3503901,Arujá,86678
3503950,Aspásia,1842
3504008,Assis,101409
3504107,Atibaia,158647
3504206,Auriflama,13692
3504305,Avaí,4483
3504404,Avanhandava,11263
3504503,Avaré,92805
3504602,Bady Bassitt,27260
3504701,Balbinos,3887
3504800,Bálsamo,9596
3504909,Bananal,9969
3505005,Barão de Antonina,3531
3505104,Barbosa,5640
3505203,Bariri,31595
3505302,Barra Bonita,34346
3505351,Barra do Chapéu,5179
3505401,Barra do Turvo,6876
3505500,Barretos,122485
3505609,Barrinha,32092
3505708,Barueri,316473
3505807,Bastos,21503
3505906,Batatais,58402
3506003,Bauru,379146
3506102,Bebedouro,76373
3506201,Bento de Abreu,2606
3506300,Bernardino de Campos,11607
3506359,Bertioga,64188
3506409,Bilac,7319
3506508,Birigui,118979
3506607,Biritiba Mirim,29683
3506706,Boa Esperança do Sul,12978
3506805,Bocaina,11259
3506904,Bofete,10460
3507001,Boituva,61081
3507100,Bom Jesus dos Perdões,22006
3507159,Bom Sucesso de Itararé,3555
3507209,Borá,907
3507308,Boracéia,4715
3507407,Borborema,14226
3507456,Borebi,2713
3507506,Botucatu,145155
3507605,Bragança Paulista,176811
3507704,Braúna,5356
3507753,Brejo Alegre,2565
3507803,Brodowski,25201
3507902,Brotas,23898
3508009,Buri,20250
3508108,Buritama,17210
3508207,Buritizal,4356
3508306,Cabrália Paulista,4299
3508405,Cabreúva,47011
3508504,Caçapava,96202
3508603,Cachoeira Paulista,31564
3508702,Caconde,17101
3508801,Cafelândia,16654
3508900,Caiabu,3712
3509007,Caieiras,95032
3509106,Caiuá,5466
3509205,Cajamar,92689
3509254,Cajati,28515
3509304,Cajobi,9133
3509403,Cajuru,23830
3509452,Campina do Monte Alegre,5954
3509502,Campinas,1139047
3509601,Campo Limpo Paulista,77632
3509700,Campos do Jordão,46974
3509809,Campos Novos Paulista,4888
3509908,Cananéia,12289
3509957,Canas,4931
3510005,Cândido Mota,29449
3510104,Cândido Rodrigues,2889
3510153,Canitar,6283
3510203,Capão Bonito,46337
3510302,Capela do Alto,22866
3510401,Capivari,50068
3510500,Caraguatatuba,134873
3510609,Carapicuíba,386984
3510708,Cardoso,11345
3510807,Casa Branca,28083
3510906,Cássia dos Coqueiros,2799
3511003,Castilho,19977
3511102,Catanduva,115791
3511201,Catiguá,7003
3511300,Cedral,12618
3511409,Cerqueira César,21469
3511508,Cerquilho,44695
3511607,Cesário Lange,19048
3511706,Charqueada,15535
3511904,Clementina,6982
3512001,Colina,18486
3512100,Colômbia,6629
3512209,Conchal,28101
3512308,Conchas,15232
3512407,Cordeirópolis,24514
3512506,Coroados,5400
3512605,Coronel Macedo,4280
3512704,Corumbataí,4195
3512803,Cosmópolis,59773
3512902,Cosmorama,8719
3513009,Cotia,274413
3513108,Cravinhos,33281
3513207,Cristais Paulista,9272
3513306,Cruzália,2108
3513405,Cruzeiro,74961
3513504,Cubatão,112476
3513603,Cunha,22110
3513702,Descalvado,31756
3513801,Diadema,393237
3513850,Dirce Reis,1620
3513900,Divinolândia,11158
3514007,Dobrada,8759
3514106,Dois Córregos,24510
3514205,Dolcinópolis,2207
3514304,Dourado,8096
3514403,Dracena,45474
3514502,Duartina,12328
3514601,Dumont,9471
3514700,Echaporã,6205
3514809,Eldorado,13069
3514908,Elias Fausto,17699
3514924,Elisiário,3138
3514957,Embaúba,2323
3515004,Embu das Artes,250691
3515103,Embu-Guaçu,66970
3515129,Emilianópolis,3014
3515152,Engenheiro Coelho,19566
3515186,Espírito Santo do Pinhal,39816
3515194,Espírito Santo do Turvo,4157
3515202,Estrela d'Oeste,9417
3515301,Estrela do Norte,2703
3515350,Euclides da Cunha Paulista,7924
3515400,Fartura,16641
3515509,Fernandópolis,71186
3515608,Fernando Prestes,5942
3515657,Fernão,1656
3515707,Ferraz de Vasconcelos,179198
3515806,Flora Rica,1487
3515905,Floreal,2733
3516002,Flórida Paulista,12958
3516101,Florínea,3851
3516200,Franca,352536
3516309,Francisco Morato,165139
3516408,Franco da Rocha,144849
3516507,Gabriel Monteiro,2763
3516606,Gália,6380
3516705,Garça,42110
3516804,Gastão Vidigal,3252
